Meeting URL 	 https://blackstoneamoffice.com/editors/Reports/MeetingStatusReport.aspx?meetingid=2873 
Duration (minutes) 	2.0
Maximum acceptable response time (seconds) 	3
Pause time if exceeds the time line (seconds) 	1
Pause time if does not exceed the time line (seconds) 	1


Data Records: 
Timestamp 	Total Elapsing Time (seconds) 	Total Remaining Time (seconds) 	Loading Times (seconds) 	Pause Each Request (seconds) 	IS ACCEPTABLE? 	Total Counts of Exceeding Time Line
2024-08-05 13:23:03 	0.00 	120.00 	 2.64 	 1 	 True	0 
2024-08-05 13:23:07 	3.66 	116.34 	 2.41 	 1 	 True	0 
2024-08-05 13:23:11 	7.08 	112.92 	 2.62 	 1 	 True	0 
2024-08-05 13:23:14 	10.72 	109.28 	 2.52 	 1 	 True	0 
2024-08-05 13:23:18 	14.26 	105.74 	 2.52 	 1 	 True	0 
2024-08-05 13:23:21 	17.79 	102.21 	 2.56 	 1 	 True	0 
2024-08-05 13:23:25 	21.37 	98.63 	 2.48 	 1 	 True	0 
2024-08-05 13:23:28 	24.87 	95.13 	 2.53 	 1 	 True	0 
2024-08-05 13:23:32 	28.41 	91.59 	 2.70 	 1 	 True	0 
2024-08-05 13:23:36 	32.12 	87.88 	 2.94 	 1 	 True	0 
2024-08-05 13:23:40 	36.08 	83.92 	 2.51 	 1 	 True	0 
2024-08-05 13:23:43 	39.60 	80.40 	 2.52 	 1 	 True	0 
2024-08-05 13:23:47 	43.14 	76.86 	 2.64 	 1 	 True	0 
2024-08-05 13:23:50 	46.79 	73.21 	 2.48 	 1 	 True	0 
2024-08-05 13:23:54 	50.29 	69.71 	 2.52 	 1 	 True	0 
2024-08-05 13:23:57 	53.83 	66.17 	 2.48 	 1 	 True	0 
2024-08-05 13:24:01 	57.32 	62.68 	 2.53 	 1 	 True	0 
2024-08-05 13:24:04 	60.87 	59.13 	 2.41 	 1 	 True	0 
2024-08-05 13:24:08 	64.30 	55.70 	 2.55 	 1 	 True	0 
2024-08-05 13:24:11 	67.86 	52.14 	 2.66 	 1 	 True	0 
2024-08-05 13:24:15 	71.53 	48.47 	 2.58 	 1 	 True	0 
2024-08-05 13:24:19 	75.13 	44.87 	 2.52 	 1 	 True	0 
2024-08-05 13:24:22 	78.66 	41.34 	 2.47 	 1 	 True	0 
2024-08-05 13:24:26 	82.15 	37.85 	 2.54 	 1 	 True	0 
2024-08-05 13:24:29 	85.70 	34.30 	 2.50 	 1 	 True	0 
2024-08-05 13:24:33 	89.22 	30.78 	 2.57 	 1 	 True	0 
2024-08-05 13:24:36 	92.81 	27.19 	 2.52 	 1 	 True	0 
2024-08-05 13:24:40 	96.34 	23.66 	 2.53 	 1 	 True	0 
2024-08-05 13:24:43 	99.89 	20.11 	 2.52 	 1 	 True	0 
2024-08-05 13:24:47 	103.42 	16.58 	 2.69 	 1 	 True	0 
2024-08-05 13:24:51 	107.13 	12.87 	 2.47 	 1 	 True	0 
2024-08-05 13:24:54 	110.62 	9.38 	 2.52 	 1 	 True	0 
2024-08-05 13:24:58 	114.15 	5.85 	 2.52 	 1 	 True	0 
2024-08-05 13:25:01 	117.69 	2.31 	 2.56 	 1 	 True	0 
